Datum;Grupp;Serie;Värde
2022-10-03;Andra riksbanksräntor;Referensränta;0,50
2022-10-04;Andra riksbanksräntor;Referensränta;0,50
2022-10-05;Andra riksbanksräntor;Referensränta;0,50
2022-10-06;Andra riksbanksräntor;Referensränta;0,50
2022-10-07;Andra riksbanksräntor;Referensränta;0,50
2022-10-10;Andra riksbanksräntor;Referensränta;0,50
2022-10-11;Andra riksbanksräntor;Referensränta;0,50
2022-10-12;Andra riksbanksräntor;Referensränta;0,50
2022-10-13;Andra riksbanksräntor;Referensränta;0,50
2022-10-14;Andra riksbanksräntor;Referensränta;0,50
2022-10-17;Andra riksbanksräntor;Referensränta;0,50
2022-10-18;Andra riksbanksräntor;Referensränta;0,50
2022-10-19;Andra riksbanksräntor;Referensränta;0,50
2022-10-20;Andra riksbanksräntor;Referensränta;0,50
2022-10-21;Andra riksbanksräntor;Referensränta;0,50
2022-10-24;Andra riksbanksräntor;Referensränta;0,50
2022-10-25;Andra riksbanksräntor;Referensränta;0,50
2022-10-26;Andra riksbanksräntor;Referensränta;0,50
2022-10-27;Andra riksbanksräntor;Referensränta;0,50
2022-10-28;Andra riksbanksräntor;Referensränta;0,50
2022-10-31;Andra riksbanksräntor;Referensränta;0,50
2022-11-01;Andra riksbanksräntor;Referensränta;0,50
2022-11-02;Andra riksbanksräntor;Referensränta;0,50
2022-11-03;Andra riksbanksräntor;Referensränta;0,50
2022-11-04;Andra riksbanksräntor;Referensränta;0,50
2022-11-07;Andra riksbanksräntor;Referensränta;0,50
2022-11-08;Andra riksbanksräntor;Referensränta;0,50
2022-11-09;Andra riksbanksräntor;Referensränta;0,50
2022-11-10;Andra riksbanksräntor;Referensränta;0,50
2022-11-11;Andra riksbanksräntor;Referensränta;0,50
2022-11-14;Andra riksbanksräntor;Referensränta;0,50
2022-11-15;Andra riksbanksräntor;Referensränta;0,50
2022-11-16;Andra riksbanksräntor;Referensränta;0,50
2022-11-17;Andra riksbanksräntor;Referensränta;0,50
2022-11-18;Andra riksbanksräntor;Referensränta;0,50
2022-11-21;Andra riksbanksräntor;Referensränta;0,50
2022-11-22;Andra riksbanksräntor;Referensränta;0,50
2022-11-23;Andra riksbanksräntor;Referensränta;0,50
2022-11-24;Andra riksbanksräntor;Referensränta;0,50
2022-11-25;Andra riksbanksräntor;Referensränta;0,50
2022-11-28;Andra riksbanksräntor;Referensränta;0,50
2022-11-29;Andra riksbanksräntor;Referensränta;0,50
2022-11-30;Andra riksbanksräntor;Referensränta;0,50
